,Missclassification threshold,Backdoor type,Poison percentage (alpha),TPR,FPR,TNR,FNR,Precision,Recall,F1,ROC AUC
0,0.07,pattern,0.025,1.0,0.00275,0.99725,0.0,0.9020771513353115,1.0,0.9485179407176287,0.998625
1,0.07,pattern,0.05,1.0,0.0021333333333333334,0.9978666666666667,0.0,0.9605911330049262,1.0,0.9798994974874372,0.9989333333333333
2,0.07,pattern,0.1,0.9998480243161094,0.0028833333333333332,0.9971166666666667,0.00015197568389057752,0.974377962085308,0.9998480243161094,0.986948694869487,0.998482345491388
3,0.07,pattern,0.15,1.0,0.0023166666666666665,0.9976833333333334,0.0,0.9868731702710359,1.0,0.9933932221113171,0.9988416666666667
4,0.07,pattern,0.2,0.999932478055368,0.003966666666666667,0.9960333333333333,6.75219446320054e-05,0.9841828936000532,0.999932478055368,0.9919951770104163,0.9979829056943507
5,0.07,pattern,0.25,0.9668693009118541,0.0032333333333333333,0.9967666666666667,0.0331306990881459,0.9899377593360996,0.9668693009118541,0.9782675550999488,0.9818179837892604
6,0.07,pattern,0.3,0.9979905437352246,0.00285,0.99715,0.0020094562647754136,0.9932941176470588,0.9979905437352246,0.9956367924528302,0.9975702718676123
7,0.07,pattern,0.35,0.9999686422075886,0.003183333333333333,0.9968166666666667,3.1357792411414234e-05,0.9940461346633417,0.9999686422075886,0.9969985930905112,0.9983926544371277
8,0.07,pattern,0.4,1.0,0.10143333333333333,0.8985666666666666,0.0,0.8664648060382657,1.0,0.9284555521594997,0.9492833333333333
9,0.07,pixel,0.025,1.0,0.0017333333333333333,0.9982666666666666,0.0,0.9359605911330049,1.0,0.9669211195928753,0.9991333333333333
10,0.07,pixel,0.05,0.9990384615384615,0.0020166666666666666,0.9979833333333333,0.0009615384615384616,0.9626312538604077,0.9990384615384615,0.9804970116388801,0.9985108974358974
11,0.07,pixel,0.1,0.9998480243161094,0.0024333333333333334,0.9975666666666667,0.00015197568389057752,0.9782899628252788,0.9998480243161094,0.9889515219842164,0.9987073454913881
12,0.07,pixel,0.15,0.9998086124401914,0.0023833333333333332,0.9976166666666667,0.00019138755980861245,0.9864979699745067,0.9998086124401914,0.9931086925526353,0.9987126395534289
13,0.07,pixel,0.2,0.999864956110736,0.002916666666666667,0.9970833333333333,0.0001350438892640108,0.9883200961089235,0.999864956110736,0.9940590071493304,0.9984741447220347
14,0.07,pixel,0.25,0.9998986828774062,0.0029333333333333334,0.9970666666666667,0.00010131712259371833,0.9911619965853169,0.9998986828774062,0.9955111716346396,0.9984826747720363
15,0.07,pixel,0.3,0.7518124507486209,0.0038833333333333333,0.9961166666666667,0.24818754925137904,0.9879362120741431,0.7518124507486209,0.8538506287197387,0.8739645587076437
16,0.07,pixel,0.35,1.0,0.00305,0.99695,0.0,0.9942942662052193,1.0,0.9971389709675906,0.998475
17,0.07,pixel,0.4,1.0,0.10083333333333333,0.8991666666666667,0.0,0.8671497584541062,1.0,0.9288486416558862,0.9495833333333333
